Date,Description,Amount
30/10/2025,"NAMMA VEEDU VASANTHA B DOHA          QAT                                          NAMMA VEEDU VASANTHA B                                                                                                                                             DOHA      """"",-42.8
28/10/2025,"NEW INDIAN SUP MARKET  DOHA          QAT                                          NEW INDIAN SUP MARKET                                                                                                                                              DOHA      """"",-10
27/10/2025,"ALBATRA RESTAURANT     DOHA          QAT                                          ALBATRA RESTAURANT                                                                                                                                                 DOHA      """"",-274.63
27/10/2025,"FAMILY FOOD CENTER     DOHA          QAT                                          FAMILY FOOD CENTER                                                                                                                                                 DOHA      """"",-24
21/10/2025,"QATAR BAHRAIN INTERNAT DOHA          QAT                                          QATAR BAHRAIN INTERNAT                                                                                                                                             DOHA      """"",-100
21/10/2025,"QATAR BAHRAIN INTERNAT DOHA          QAT                                          QATAR BAHRAIN INTERNAT                                                                                                                                             DOHA      """"",-45.12
21/10/2025,"NEW INDIAN SUP MARKET  DOHA          QAT                                          NEW INDIAN SUP MARKET                                                                                                                                              DOHA      """"",-18
20/10/2025,"YUMMY CORN ANSAR       DOHA          QAT                                          YUMMY CORN ANSAR                                                                                                                                                   DOHA      """"",-29.4
20/10/2025,"KEETA                  Doha          QAT                                          KEETA                                                                                                                                                              Doha      """"",-160.93
19/10/2025,"NEW INDIAN SUP MARKET  DOHA          QAT                                          NEW INDIAN SUP MARKET                                                                                                                                              DOHA      """"",-85.19
19/10/2025,"ANSAR GALLERY          DOHA          QAT                                          ANSAR GALLERY                                                                                                                                                      DOHA      """"",-37
16/10/2025,"SALUTARY FOOD TRADING  DOHA          QAT                                          SALUTARY FOOD TRADING                                                                                                                                              DOHA      """"",-69.02
15/10/2025,"WOQOD - FAREEJ BIN DIR DOHA          QAT                                          WOQOD - FAREEJ BIN DIR                                                                                                                                             DOHA      """"",-332.84
13/10/2025,"LULU HYPER MARKET      DOHA          QAT                                          LULU HYPER MARKET                                                                                                                                                  DOHA      """"",-20
13/10/2025,"ATHENS                 Doha          QAT                                          ATHENS                                                                                                                                                             Doha      """"",-3
13/10/2025,"SOUQ AL WAKRA PARKING  Doha          QAT                                          SOUQ AL WAKRA PARKING                                                                                                                                              Doha      """"",s
12/10/2025,"AL MARKHIYA BUILDING M DOHA          QAT                                          AL MARKHIYA BUILDING M                                                                                                                                             DOHA      """"",-16
12/10/2025,"AL AKER SWEETS         DOHA          QAT                                          AL AKER SWEETS                                                                                                                                                     DOHA      """"",-17
12/10/2025,"WOQOD - FAREEJ BIN DIR DOHA          QAT                                          WOQOD - FAREEJ BIN DIR                                                                                                                                             DOHA      """"",-36
8/10/2025,"AFIA PHARMACY NEW TAIF DOHA          QAT                                          AFIA PHARMACY NEW TAIF                                                                                                                                             DOHA      """"",-16
8/10/2025,"QATAR BAHRAIN INTERNAT DOHA          QAT                                          QATAR BAHRAIN INTERNAT                                                                                                                                             DOHA      """"",-65
8/10/2025,"VODAFONE (WEBSITE)     DOHA          QAT                                          VODAFONE (WEBSITE)                                                                                                                                                 DOHA      """"",-350
8/10/2025,"VODAFONE (WEBSITE)     DOHA          QAT                                          VODAFONE (WEBSITE)                                                                                                                                                 DOHA      """"",-135
7/10/2025,"kahrmaa                DOHA          QAT                                          kahrmaa                                                                                                                                                            DOHA      """"",-196.05
